symptoms,disease
"yellow_crust_ooze, high_fever, skin_rash, red_sore_around_nose, blister",Impetigo
"yellow_crust_ooze, skin_rash, blister, high_fever, red_sore_around_nose",Impetigo
"skin_rash, blister, red_sore_around_nose, high_fever, yellow_crust_ooze",Impetigo
"headache, abdominal_pain, belly_pain, high_fever, diarrhoea, fatigue, nausea, chills, vomiting, toxic_look_(typhos)",Typhoid
"vomiting, chills, diarrhoea, toxic_look_(typhos), fatigue, nausea, high_fever, belly_pain, abdominal_pain, headache",Typhoid
"fatigue, high_fever, abdominal_pain, diarrhoea, toxic_look_(typhos), chills, belly_pain, nausea, vomiting, headache",Typhoid
"vomiting, cough, stomach_pain, ulcers_on_tongue, chest_pain",GERD
"chest_pain, ulcers_on_tongue, vomiting, stomach_pain, cough",GERD
"chest_pain, ulcers_on_tongue, cough, stomach_pain, vomiting",GERD
"bruising, swollen_legs, fatigue, swollen_blood_vessels, prominent_veins_on_calf, obesity, cramps",Varicose veins
"prominent_veins_on_calf, swollen_legs, fatigue, cramps, obesity, swollen_blood_vessels, bruising",Varicose veins
"bruising, cramps, obesity, fatigue, prominent_veins_on_calf, swollen_legs, swollen_blood_vessels",Varicose veins
"bloody_stool, constipation, irritation_in_anus, pain_in_anal_region, pain_during_bowel_movements",Dimorphic hemmorhoids(piles)
"bloody_stool, pain_in_anal_region, irritation_in_anus, pain_during_bowel_movements, constipation",Dimorphic hemmorhoids(piles)
"pain_in_anal_region, irritation_in_anus, constipation, pain_during_bowel_movements, bloody_stool",Dimorphic hemmorhoids(piles)
"passage_of_gases, abdominal_pain, internal_itching, indigestion, loss_of_appetite, vomiting",Peptic ulcer disease
"internal_itching, vomiting, passage_of_gases, indigestion, loss_of_appetite, abdominal_pain",Peptic ulcer disease
"internal_itching, indigestion, passage_of_gases, vomiting, loss_of_appetite, abdominal_pain",Peptic ulcer disease
"itching, skin_rash, dischromic _patches, nodal_skin_eruptions",Fungal infection
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",Fungal infection
"nodal_skin_eruptions, itching, dischromic _patches, skin_rash",Fungal infection
"back_pain, dizziness, neck_pain, weakness_in_limbs, loss_of_balance",Cervical spondylosis
"dizziness, loss_of_balance, weakness_in_limbs, back_pain, neck_pain",Cervical spondylosis
"dizziness, back_pain, neck_pain, weakness_in_limbs, loss_of_balance",Cervical spondylosis
"receiving_blood_transfusion, lethargy, yellowish_skin, itching, receiving_unsterile_injections, loss_of_appetite, abdominal_pain, fatigue, dark_urine, malaise, yellow_urine, yellowing_of_eyes",Hepatitis B
"abdominal_pain, loss_of_appetite, receiving_unsterile_injections, receiving_blood_transfusion, itching, yellow_urine, fatigue, dark_urine, yellowish_skin, malaise, lethargy, yellowing_of_eyes",Hepatitis B
"dark_urine, malaise, lethargy, yellow_urine, itching, abdominal_pain, receiving_unsterile_injections, loss_of_appetite, yellowing_of_eyes, fatigue, receiving_blood_transfusion, yellowish_skin",Hepatitis B
"constipation, chills, headache, nausea, toxic_look_(typhos), diarrhoea, abdominal_pain, fatigue, high_fever, belly_pain",Typhoid
"toxic_look_(typhos), chills, headache, belly_pain, constipation, high_fever, nausea, diarrhoea, abdominal_pain, fatigue",Typhoid
"fatigue, belly_pain, nausea, high_fever, abdominal_pain, chills, constipation, headache, diarrhoea, toxic_look_(typhos)",Typhoid
"sweating, breathlessness, vomiting",Heart attack
"vomiting, breathlessness, sweating",Heart attack
"breathlessness, sweating, vomiting",Heart attack
"extra_marital_contacts, patches_in_throat, high_fever",AIDS
"high_fever, extra_marital_contacts, patches_in_throat",AIDS
"extra_marital_contacts, high_fever, patches_in_throat",AIDS
"excessive_hunger, acidity, blurred_and_distorted_vision, indigestion, visual_disturbances, headache, stiff_neck, depression",Migraine
"indigestion, excessive_hunger, headache, acidity, visual_disturbances, blurred_and_distorted_vision, depression, stiff_neck",Migraine
"acidity, depression, indigestion, stiff_neck, excessive_hunger, blurred_and_distorted_vision, visual_disturbances, headache",Migraine
"yellow_urine, receiving_blood_transfusion, yellowish_skin, itching, yellowing_of_eyes, malaise, dark_urine, fatigue, lethargy, abdominal_pain, receiving_unsterile_injections",Hepatitis B
"yellowing_of_eyes, yellow_urine, receiving_blood_transfusion, itching, dark_urine, receiving_unsterile_injections, abdominal_pain, fatigue, malaise, yellowish_skin, lethargy",Hepatitis B
"receiving_unsterile_injections, receiving_blood_transfusion, dark_urine, fatigue, yellow_urine, malaise, lethargy, yellowing_of_eyes, abdominal_pain, itching, yellowish_skin",Hepatitis B
"skin_rash, pus_filled_pimples, blackheads, scurring",Acne
"pus_filled_pimples, skin_rash, scurring, blackheads",Acne
"blackheads, scurring, pus_filled_pimples, skin_rash",Acne
"receiving_blood_transfusion, abdominal_pain, lethargy, yellowing_of_eyes, malaise, itching, yellowish_skin, yellow_urine, receiving_unsterile_injections, loss_of_appetite, fatigue",Hepatitis B
"yellowish_skin, itching, abdominal_pain, lethargy, yellowing_of_eyes, receiving_blood_transfusion, yellow_urine, fatigue, receiving_unsterile_injections, malaise, loss_of_appetite",Hepatitis B
"yellowish_skin, yellowing_of_eyes, lethargy, loss_of_appetite, receiving_blood_transfusion, malaise, fatigue, abdominal_pain, yellow_urine, itching, receiving_unsterile_injections",Hepatitis B
"shivering, continuous_sneezing, chills, watering_from_eyes",Allergy
"watering_from_eyes, continuous_sneezing, chills, shivering",Allergy
"shivering, watering_from_eyes, continuous_sneezing, chills",Allergy
"knee_pain, painful_walking, neck_pain, swelling_joints, hip_joint_pain, joint_pain",Osteoarthritis
"knee_pain, swelling_joints, joint_pain, hip_joint_pain, neck_pain, painful_walking",Osteoarthritis
"painful_walking, hip_joint_pain, neck_pain, knee_pain, swelling_joints, joint_pain",Osteoarthritis
"yellowing_of_eyes, dark_urine, nausea, loss_of_appetite, muscle_pain, mild_fever, vomiting, joint_pain, diarrhoea, abdominal_pain",hepatitis A
"yellowing_of_eyes, nausea, vomiting, dark_urine, loss_of_appetite, diarrhoea, muscle_pain, joint_pain, mild_fever, abdominal_pain",hepatitis A
"muscle_pain, mild_fever, nausea, diarrhoea, abdominal_pain, dark_urine, yellowing_of_eyes, loss_of_appetite, joint_pain, vomiting",hepatitis A
"vomiting, indigestion, internal_itching, passage_of_gases, abdominal_pain, loss_of_appetite",Peptic ulcer disease
"abdominal_pain, indigestion, loss_of_appetite, internal_itching, passage_of_gases, vomiting",Peptic ulcer disease
"abdominal_pain, indigestion, passage_of_gases, vomiting, internal_itching, loss_of_appetite",Peptic ulcer disease
"joint_pain, skin_rash, inflammatory_nails, small_dents_in_nails, silver_like_dusting, skin_peeling",Psoriasis
"skin_peeling, inflammatory_nails, skin_rash, small_dents_in_nails, joint_pain, silver_like_dusting",Psoriasis
"inflammatory_nails, skin_peeling, skin_rash, small_dents_in_nails, silver_like_dusting, joint_pain",Psoriasis
"neck_pain, swelling_joints, hip_joint_pain, joint_pain, painful_walking, knee_pain",Osteoarthritis
"hip_joint_pain, joint_pain, knee_pain, painful_walking, neck_pain, swelling_joints",Osteoarthritis
"swelling_joints, joint_pain, neck_pain, painful_walking, hip_joint_pain, knee_pain",Osteoarthritis
"depression, weight_gain, enlarged_thyroid, cold_hands_and_feets, dizziness, irritability, lethargy, mood_swings, swollen_extremeties, fatigue, brittle_nails, abnormal_menstruation, puffy_face_and_eyes",Hypothyroidism
"mood_swings, weight_gain, swollen_extremeties, lethargy, puffy_face_and_eyes, dizziness, fatigue, enlarged_thyroid, brittle_nails, irritability, abnormal_menstruation, depression, cold_hands_and_feets",Hypothyroidism
"swollen_extremeties, enlarged_thyroid, puffy_face_and_eyes, dizziness, weight_gain, cold_hands_and_feets, abnormal_menstruation, lethargy, depression, brittle_nails, fatigue, irritability, mood_swings",Hypothyroidism
"foul_smell_of urine, continuous_feel_of_urine, bladder_discomfort",Urinary tract infection
"bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine",Urinary tract infection
"foul_smell_of urine, bladder_discomfort, continuous_feel_of_urine",Urinary tract infection
"history_of_alcohol_consumption, abdominal_pain, vomiting, distention_of_abdomen, yellowish_skin, fluid_overload, swelling_of_stomach",Alcoholic hepatitis
"distention_of_abdomen, fluid_overload, vomiting, swelling_of_stomach, history_of_alcohol_consumption, yellowish_skin, abdominal_pain",Alcoholic hepatitis
"history_of_alcohol_consumption, fluid_overload, distention_of_abdomen, swelling_of_stomach, vomiting, yellowish_skin, abdominal_pain",Alcoholic hepatitis
"mucoid_sputum, high_fever, fatigue, family_history, breathlessness, cough",Bronchial Asthma
"fatigue, family_history, high_fever, cough, mucoid_sputum, breathlessness",Bronchial Asthma
"family_history, high_fever, breathlessness, cough, fatigue, mucoid_sputum",Bronchial Asthma
"loss_of_appetite, passage_of_gases, abdominal_pain, internal_itching, indigestion, vomiting",Peptic ulcer disease
"abdominal_pain, vomiting, loss_of_appetite, passage_of_gases, internal_itching, indigestion",Peptic ulcer disease
"indigestion, vomiting, passage_of_gases, abdominal_pain, internal_itching, loss_of_appetite",Peptic ulcer disease
"diarrhoea, dehydration, sunken_eyes, vomiting",Gastroenteritis
"diarrhoea, sunken_eyes, vomiting, dehydration",Gastroenteritis
"diarrhoea, vomiting, sunken_eyes, dehydration",Gastroenteritis
"back_pain, red_spots_over_body, loss_of_appetite, chills, vomiting, joint_pain, muscle_pain, pain_behind_the_eyes, headache, high_fever, malaise, skin_rash, nausea",Dengue
"skin_rash, vomiting, chills, loss_of_appetite, headache, malaise, joint_pain, high_fever, pain_behind_the_eyes, nausea, muscle_pain, back_pain, red_spots_over_body",Dengue
"chills, loss_of_appetite, nausea, high_fever, pain_behind_the_eyes, joint_pain, muscle_pain, malaise, back_pain, red_spots_over_body, vomiting, skin_rash, headache",Dengue
"mood_swings, restlessness, abnormal_menstruation, fast_heart_rate, irritability, diarrhoea, muscle_weakness, sweating, weight_loss, fatigue",Hyperthyroidism
"irritability, abnormal_menstruation, diarrhoea, restlessness, fast_heart_rate, muscle_weakness, mood_swings, weight_loss, fatigue, sweating",Hyperthyroidism
"restlessness, sweating, weight_loss, fast_heart_rate, muscle_weakness, mood_swings, irritability, fatigue, diarrhoea, abnormal_menstruation",Hyperthyroidism
"red_sore_around_nose, yellow_crust_ooze, blister, skin_rash, high_fever",Impetigo
"red_sore_around_nose, high_fever, yellow_crust_ooze, skin_rash, blister",Impetigo
"yellow_crust_ooze, skin_rash, high_fever, blister, red_sore_around_nose",Impetigo
"mucoid_sputum, family_history, breathlessness, cough, fatigue, high_fever",Bronchial Asthma
"fatigue, breathlessness, high_fever, family_history, mucoid_sputum, cough",Bronchial Asthma
"mucoid_sputum, cough, family_history, high_fever, breathlessness, fatigue",Bronchial Asthma
"stomach_pain, spotting_ urination, skin_rash, itching",Drug Reaction
"skin_rash, itching, stomach_pain, spotting_ urination",Drug Reaction
"skin_rash, spotting_ urination, itching, stomach_pain",Drug Reaction
"blurred_and_distorted_vision, weight_loss, restlessness, excessive_hunger, increased_appetite, fatigue, polyuria, irregular_sugar_level, lethargy, obesity",Diabetes
"obesity, restlessness, irregular_sugar_level, polyuria, fatigue, lethargy, weight_loss, excessive_hunger, increased_appetite, blurred_and_distorted_vision",Diabetes
"weight_loss, fatigue, restlessness, polyuria, increased_appetite, blurred_and_distorted_vision, irregular_sugar_level, obesity, excessive_hunger, lethargy",Diabetes
"abdominal_pain, yellowish_skin, yellowing_of_eyes, joint_pain, dark_urine, nausea, loss_of_appetite, vomiting",Hepatitis D
"abdominal_pain, loss_of_appetite, yellowish_skin, vomiting, nausea, joint_pain, yellowing_of_eyes, dark_urine",Hepatitis D
"abdominal_pain, yellowing_of_eyes, vomiting, loss_of_appetite, dark_urine, yellowish_skin, nausea, joint_pain",Hepatitis D
"abdominal_pain, constipation, high_fever, vomiting, headache, belly_pain, fatigue, toxic_look_(typhos), diarrhoea, chills, nausea",Typhoid
"belly_pain, high_fever, chills, toxic_look_(typhos), fatigue, vomiting, diarrhoea, constipation, nausea, abdominal_pain, headache",Typhoid
"abdominal_pain, high_fever, headache, nausea, fatigue, diarrhoea, vomiting, constipation, belly_pain, chills, toxic_look_(typhos)",Typhoid
"small_dents_in_nails, skin_peeling, inflammatory_nails, skin_rash, silver_like_dusting, joint_pain",Psoriasis
"joint_pain, skin_rash, inflammatory_nails, small_dents_in_nails, silver_like_dusting, skin_peeling",Psoriasis
"silver_like_dusting, small_dents_in_nails, joint_pain, skin_rash, inflammatory_nails, skin_peeling",Psoriasis
"joint_pain, knee_pain, painful_walking, hip_joint_pain, swelling_joints",Osteoarthritis
"hip_joint_pain, knee_pain, joint_pain, painful_walking, swelling_joints",Osteoarthritis
"painful_walking, knee_pain, swelling_joints, hip_joint_pain, joint_pain",Osteoarthritis
"vomiting, breathlessness, chest_pain",Heart attack
"chest_pain, breathlessness, vomiting",Heart attack
"vomiting, chest_pain, breathlessness",Heart attack
"yellowing_of_eyes, joint_pain, dark_urine, diarrhoea, loss_of_appetite, muscle_pain, abdominal_pain, yellowish_skin, vomiting, mild_fever, nausea",hepatitis A
"abdominal_pain, yellowing_of_eyes, loss_of_appetite, vomiting, joint_pain, mild_fever, nausea, diarrhoea, dark_urine, yellowish_skin, muscle_pain",hepatitis A
"loss_of_appetite, muscle_pain, yellowish_skin, abdominal_pain, yellowing_of_eyes, diarrhoea, vomiting, nausea, joint_pain, dark_urine, mild_fever",hepatitis A
"skin_rash, pus_filled_pimples, scurring, blackheads",Acne
"blackheads, scurring, pus_filled_pimples, skin_rash",Acne
"pus_filled_pimples, scurring, blackheads, skin_rash",Acne
"itching, skin_rash, dischromic _patches",Fungal infection
"itching, dischromic _patches, skin_rash",Fungal infection
"dischromic _patches, skin_rash, itching",Fungal infection
"loss_of_appetite, dark_urine, fatigue, vomiting, nausea, joint_pain, abdominal_pain, coma, stomach_bleeding, yellowish_skin, high_fever, acute_liver_failure, yellowing_of_eyes",Hepatitis E
"abdominal_pain, yellowing_of_eyes, dark_urine, yellowish_skin, high_fever, loss_of_appetite, acute_liver_failure, coma, vomiting, stomach_bleeding, nausea, joint_pain, fatigue",Hepatitis E
"yellowish_skin, vomiting, dark_urine, joint_pain, coma, fatigue, loss_of_appetite, stomach_bleeding, abdominal_pain, yellowing_of_eyes, high_fever, acute_liver_failure, nausea",Hepatitis E
"passage_of_gases, vomiting, loss_of_appetite, internal_itching, abdominal_pain, indigestion",Peptic ulcer disease
"loss_of_appetite, vomiting, abdominal_pain, indigestion, passage_of_gases, internal_itching",Peptic ulcer disease
"internal_itching, vomiting, indigestion, passage_of_gases, loss_of_appetite, abdominal_pain",Peptic ulcer disease
"neck_pain, weakness_in_limbs, loss_of_balance, dizziness, back_pain",Cervical spondylosis
"back_pain, loss_of_balance, dizziness, neck_pain, weakness_in_limbs",Cervical spondylosis
"back_pain, neck_pain, dizziness, weakness_in_limbs, loss_of_balance",Cervical spondylosis
"chills, muscle_pain, headache, nausea, high_fever, vomiting, diarrhoea, sweating",Malaria
"vomiting, muscle_pain, headache, chills, sweating, high_fever, diarrhoea, nausea",Malaria
"sweating, diarrhoea, vomiting, muscle_pain, chills, headache, nausea, high_fever",Malaria
"vomiting, passage_of_gases, abdominal_pain, loss_of_appetite, internal_itching, indigestion",Peptic ulcer disease
"loss_of_appetite, abdominal_pain, internal_itching, vomiting, indigestion, passage_of_gases",Peptic ulcer disease
"internal_itching, passage_of_gases, indigestion, loss_of_appetite, vomiting, abdominal_pain",Peptic ulcer disease
"loss_of_balance, neck_pain, dizziness, back_pain",Cervical spondylosis
"back_pain, dizziness, loss_of_balance, neck_pain",Cervical spondylosis
"back_pain, loss_of_balance, neck_pain, dizziness",Cervical spondylosis
"blister, skin_rash, yellow_crust_ooze, red_sore_around_nose, high_fever",Impetigo
"yellow_crust_ooze, red_sore_around_nose, high_fever, blister, skin_rash",Impetigo
"high_fever, skin_rash, yellow_crust_ooze, red_sore_around_nose, blister",Impetigo
"malaise, cough, rusty_sputum, chest_pain, chills, fast_heart_rate, phlegm, breathlessness, fatigue, sweating, high_fever",Pneumonia
"fatigue, chills, phlegm, breathlessness, fast_heart_rate, chest_pain, cough, sweating, rusty_sputum, malaise, high_fever",Pneumonia
"phlegm, cough, sweating, chills, fast_heart_rate, fatigue, malaise, rusty_sputum, breathlessness, chest_pain, high_fever",Pneumonia
"diarrhoea, abnormal_menstruation, weight_loss, mood_swings, restlessness, sweating, fatigue, muscle_weakness, fast_heart_rate, irritability",Hyperthyroidism
"fast_heart_rate, irritability, weight_loss, muscle_weakness, fatigue, restlessness, diarrhoea, sweating, abnormal_menstruation, mood_swings",Hyperthyroidism
"fast_heart_rate, irritability, diarrhoea, fatigue, weight_loss, sweating, mood_swings, muscle_weakness, restlessness, abnormal_menstruation",Hyperthyroidism
"diarrhoea, nausea, vomiting, headache, chills, sweating, muscle_pain, high_fever",Malaria
"nausea, high_fever, sweating, vomiting, chills, diarrhoea, headache, muscle_pain",Malaria
"nausea, sweating, diarrhoea, vomiting, high_fever, headache, muscle_pain, chills",Malaria
"joint_pain, fatigue, loss_of_appetite, nausea, vomiting, yellowish_skin, abdominal_pain, dark_urine, yellowing_of_eyes",Hepatitis D
"fatigue, yellowing_of_eyes, abdominal_pain, yellowish_skin, joint_pain, nausea, dark_urine, loss_of_appetite, vomiting",Hepatitis D
"nausea, vomiting, loss_of_appetite, joint_pain, abdominal_pain, yellowing_of_eyes, fatigue, yellowish_skin, dark_urine",Hepatitis D
"muscle_wasting, patches_in_throat, extra_marital_contacts, high_fever",AIDS
"extra_marital_contacts, high_fever, patches_in_throat, muscle_wasting",AIDS
"high_fever, extra_marital_contacts, muscle_wasting, patches_in_throat",AIDS
"belly_pain, diarrhoea, fatigue, nausea, headache, vomiting, constipation, chills, abdominal_pain, toxic_look_(typhos), high_fever",Typhoid
"nausea, vomiting, chills, constipation, high_fever, fatigue, toxic_look_(typhos), headache, abdominal_pain, diarrhoea, belly_pain",Typhoid
"abdominal_pain, nausea, high_fever, belly_pain, diarrhoea, chills, constipation, fatigue, toxic_look_(typhos), headache, vomiting",Typhoid
"muscle_weakness, swelling_joints, movement_stiffness, painful_walking, stiff_neck",Arthritis
"swelling_joints, movement_stiffness, painful_walking, stiff_neck, muscle_weakness",Arthritis
"painful_walking, movement_stiffness, stiff_neck, swelling_joints, muscle_weakness",Arthritis
"breathlessness, family_history, fatigue, high_fever, cough, mucoid_sputum",Bronchial Asthma
"family_history, mucoid_sputum, cough, breathlessness, high_fever, fatigue",Bronchial Asthma
"cough, mucoid_sputum, high_fever, family_history, breathlessness, fatigue",Bronchial Asthma
"drying_and_tingling_lips, sweating, vomiting, anxiety, headache, nausea, blurred_and_distorted_vision, excessive_hunger, palpitations, slurred_speech, fatigue, irritability",Hypoglycemia
"blurred_and_distorted_vision, sweating, irritability, anxiety, excessive_hunger, drying_and_tingling_lips, vomiting, slurred_speech, nausea, fatigue, headache, palpitations",Hypoglycemia
"excessive_hunger, slurred_speech, irritability, drying_and_tingling_lips, palpitations, nausea, sweating, headache, fatigue, anxiety, blurred_and_distorted_vision, vomiting",Hypoglycemia
"movement_stiffness, stiff_neck, muscle_weakness, swelling_joints, painful_walking",Arthritis
"movement_stiffness, painful_walking, muscle_weakness, swelling_joints, stiff_neck",Arthritis
"movement_stiffness, muscle_weakness, stiff_neck, swelling_joints, painful_walking",Arthritis
"phlegm, rusty_sputum, high_fever, malaise, chills, cough, sweating, fatigue, chest_pain, fast_heart_rate",Pneumonia
"high_fever, phlegm, malaise, chills, cough, sweating, chest_pain, rusty_sputum, fast_heart_rate, fatigue",Pneumonia
"high_fever, malaise, sweating, fast_heart_rate, fatigue, phlegm, chills, cough, rusty_sputum, chest_pain",Pneumonia
"indigestion, abdominal_pain, internal_itching, loss_of_appetite, vomiting, passage_of_gases",Peptic ulcer disease
"internal_itching, indigestion, passage_of_gases, loss_of_appetite, abdominal_pain, vomiting",Peptic ulcer disease
"indigestion, abdominal_pain, loss_of_appetite, vomiting, passage_of_gases, internal_itching",Peptic ulcer disease
"loss_of_smell, redness_of_eyes, phlegm, headache, muscle_pain, swelled_lymph_nodes, continuous_sneezing, chills, throat_irritation, malaise, fatigue, sinus_pressure, high_fever, runny_nose, congestion, cough, chest_pain",Common Cold
"redness_of_eyes, high_fever, cough, congestion, throat_irritation, fatigue, phlegm, headache, muscle_pain, loss_of_smell, sinus_pressure, chest_pain, malaise, runny_nose, swelled_lymph_nodes, chills, continuous_sneezing",Common Cold
"chills, redness_of_eyes, malaise, sinus_pressure, loss_of_smell, swelled_lymph_nodes, runny_nose, cough, congestion, fatigue, high_fever, continuous_sneezing, chest_pain, muscle_pain, headache, phlegm, throat_irritation",Common Cold
"fatigue, joint_pain, vomiting, dark_urine, stomach_bleeding, yellowing_of_eyes, nausea, loss_of_appetite, abdominal_pain, yellowish_skin, coma, acute_liver_failure",Hepatitis E
"nausea, abdominal_pain, loss_of_appetite, vomiting, acute_liver_failure, yellowing_of_eyes, coma, stomach_bleeding, fatigue, yellowish_skin, dark_urine, joint_pain",Hepatitis E
