symptoms,disease
"itching, loss_of_appetite, nausea, vomiting, yellowish_skin, yellowing_of_eyes",chronic cholestasis
"loss_of_appetite, vomiting, yellowing_of_eyes, yellowish_skin, nausea, itching",chronic cholestasis
"itching, yellowish_skin, vomiting, yellowing_of_eyes, nausea, loss_of_appetite",chronic cholestasis
"nausea, joint_pain, fatigue, loss_of_appetite, vomiting, yellowish_skin, abdominal_pain, dark_urine",hepatitis d
"nausea, joint_pain, loss_of_appetite, yellowish_skin, vomiting, fatigue, abdominal_pain, dark_urine",hepatitis d
"abdominal_pain, nausea, yellowish_skin, joint_pain, loss_of_appetite, vomiting, fatigue, dark_urine",hepatitis d
"high_fever, skin_rash, red_sore_around_nose, blister",impetigo
"skin_rash, red_sore_around_nose, high_fever, blister",impetigo
"red_sore_around_nose, blister, high_fever, skin_rash",impetigo
"avoidance of certain foods like meat, dairy, abdominal discomfort, intestinal inflammation, digestive issues, and wheat",psoriasis
"dairy, avoidance of certain foods like meat, and wheat, abdominal discomfort, intestinal inflammation, digestive issues",psoriasis
"abdominal discomfort, and wheat, intestinal inflammation, digestive issues, dairy, avoidance of certain foods like meat",psoriasis
"pain or pressure in chest, fatigue, difficulty breathing, back discomfort",heart attack
"pain or pressure in chest, difficulty breathing, back discomfort, fatigue",heart attack
"difficulty breathing, back discomfort, fatigue, pain or pressure in chest",heart attack
"light appears dim, vision changes",migraine
"vision changes, light appears dim",migraine
"blackheads, skin_rash, pus_filled_pimples",acne
"skin_rash, blackheads, pus_filled_pimples",acne
"blackheads, pus_filled_pimples, skin_rash",acne
"prominent veins on foot, vein tenderness around calf",varicose veins
"vein tenderness around calf, prominent veins on foot",varicose veins
"skin_rash, pus_filled_pimples, blackheads, scurring",acne
"pus_filled_pimples, skin_rash, scurring, blackheads",acne
"skin_rash, scurring, pus_filled_pimples, blackheads",acne
"bladder_discomfort, burning_micturition, continuous_feel_of_urine, foul_smell_of urine",urinary tract infection
"foul_smell_of urine, bladder_discomfort, burning_micturition, continuous_feel_of_urine",urinary tract infection
"burning_micturition, continuous_feel_of_urine, foul_smell_of urine, bladder_discomfort",urinary tract infection
"partial loss of moustache hair, patchy hair loss on the chin and facial hair area, large patches of irritated skin on the scalp",eczema
"partial loss of moustache hair, large patches of irritated skin on the scalp, patchy hair loss on the chin and facial hair area",eczema
"large patches of irritated skin on the scalp, partial loss of moustache hair, patchy hair loss on the chin and facial hair area",eczema
"muscle stiffness, diminished alertness",paralysis (brain hemorrhage)
"diminished alertness, muscle stiffness",paralysis (brain hemorrhage)
"puffy_face_and_eyes, fatigue, brittle_nails, abnormal_menstruation, swollen_extremeties, irritability, enlarged_thyroid, depression, cold_hands_and_feets, mood_swings, lethargy, weight_gain, dizziness",hypothyroidism
"enlarged_thyroid, mood_swings, lethargy, irritability, weight_gain, cold_hands_and_feets, fatigue, abnormal_menstruation, swollen_extremeties, dizziness, puffy_face_and_eyes, depression, brittle_nails",hypothyroidism
"depression, cold_hands_and_feets, irritability, lethargy, dizziness, brittle_nails, weight_gain, puffy_face_and_eyes, swollen_extremeties, mood_swings, abnormal_menstruation, enlarged_thyroid, fatigue",hypothyroidism
"stiff_neck, swelling_joints, painful_walking, muscle_weakness, movement_stiffness",arthritis
"movement_stiffness, stiff_neck, painful_walking, muscle_weakness, swelling_joints",arthritis
"movement_stiffness, swelling_joints, muscle_weakness, stiff_neck, painful_walking",arthritis
"difficulty lifting arms, discomfort in shoulder joints",osteoarthritis
"discomfort in shoulder joints, difficulty lifting arms",osteoarthritis
"high_fever, nausea, sweating, diarrhoea, vomiting, muscle_pain, headache",malaria
"diarrhoea, vomiting, nausea, sweating, high_fever, muscle_pain, headache",malaria
"high_fever, sweating, diarrhoea, muscle_pain, nausea, headache, vomiting",malaria
"inability to stay asleep throughout the night, early morning awakenings after taking medication, difficulty falling asleep",insomnia
"difficulty falling asleep, early morning awakenings after taking medication, inability to stay asleep throughout the night",insomnia
"difficulty falling asleep, inability to stay asleep throughout the night, early morning awakenings after taking medication",insomnia
"nausea, drying_and_tingling_lips, irritability, slurred_speech, palpitations, excessive_hunger, anxiety, blurred_and_distorted_vision, vomiting, headache, sweating, fatigue",hypoglycemia
"blurred_and_distorted_vision, vomiting, drying_and_tingling_lips, excessive_hunger, irritability, palpitations, slurred_speech, anxiety, sweating, headache, fatigue, nausea",hypoglycemia
"excessive_hunger, nausea, irritability, fatigue, anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, slurred_speech, sweating, headache, vomiting, palpitations",hypoglycemia
"food sensitivities, memory problems, unpredictable health fluctuations, sensitivity to paint fumes, persistent fatigue",chronic fatigue syndrome
"memory problems, unpredictable health fluctuations, persistent fatigue, sensitivity to paint fumes, food sensitivities",chronic fatigue syndrome
"unpredictable health fluctuations, food sensitivities, sensitivity to paint fumes, memory problems, persistent fatigue",chronic fatigue syndrome
"sensitivity to light, auras before headache onset, nausea, sensitivity to sound, visual disturbances, throbbing headache",migraine
"sensitivity to light, auras before headache onset, nausea, throbbing headache, visual disturbances, sensitivity to sound",migraine
"sensitivity to sound, nausea, sensitivity to light, visual disturbances, throbbing headache, auras before headache onset",migraine
"fear of being alone, nausea, muscle tension, non-verbal communication difficulties, cold flashes, restlessness or inability to sit still, rumination, hot flashes, loss of appetite, stress-induced hives, dissociation or feeling detached from reality, trembling or shaking, excessive sweating",anxiety
"trembling or shaking, excessive sweating, cold flashes, stress-induced hives, restlessness or inability to sit still, loss of appetite, hot flashes, dissociation or feeling detached from reality, non-verbal communication difficulties, nausea, muscle tension, fear of being alone, rumination",anxiety
"trembling or shaking, restlessness or inability to sit still, cold flashes, hot flashes, excessive sweating, fear of being alone, loss of appetite, dissociation or feeling detached from reality, rumination, non-verbal communication difficulties, stress-induced hives, nausea, muscle tension",anxiety
"headache, chest_pain, lack_of_concentration, dizziness",hypertension
"dizziness, headache, chest_pain, lack_of_concentration",hypertension
"headache, lack_of_concentration, dizziness, chest_pain",hypertension
"burning sensation in forearms, feelings of embarrassment, suicidal thoughts, excessive worry, difficulty breathing deeply, overthinking, restlessness, rapid heartbeat, nausea",anxiety
"suicidal thoughts, feelings of embarrassment, nausea, overthinking, excessive worry, burning sensation in forearms, restlessness, difficulty breathing deeply, rapid heartbeat",anxiety
"suicidal thoughts, restlessness, nausea, excessive worry, burning sensation in forearms, overthinking, rapid heartbeat, feelings of embarrassment, difficulty breathing deeply",anxiety
"feeling an excessive responsibility for the safety and well-being of others, compulsive stealing, engaging in deceitful or dishonest behavior",substance abuse
"engaging in deceitful or dishonest behavior, feeling an excessive responsibility for the safety and well-being of others, compulsive stealing",substance abuse
"compulsive stealing, feeling an excessive responsibility for the safety and well-being of others, engaging in deceitful or dishonest behavior",substance abuse
"excessive daytime sleepiness, chronic fatigue, profound exhaustion, daytime sleepiness",arrhythmia
"chronic fatigue, excessive daytime sleepiness, daytime sleepiness, profound exhaustion",arrhythmia
"daytime sleepiness, profound exhaustion, excessive daytime sleepiness, chronic fatigue",arrhythmia
"fatigue, muscle pain, shortness of breath, difficulty falling asleep",covid-19
"shortness of breath, fatigue, difficulty falling asleep, muscle pain",covid-19
"shortness of breath, fatigue, muscle pain, difficulty falling asleep",covid-19
"involuntary body tics under stress, seizures associated with stress or anxiety, depersonalization episodes following traumatic events, conversion disorder symptoms related to trauma",ptsd
"depersonalization episodes following traumatic events, involuntary body tics under stress, seizures associated with stress or anxiety, conversion disorder symptoms related to trauma",ptsd
"seizures associated with stress or anxiety, conversion disorder symptoms related to trauma, involuntary body tics under stress, depersonalization episodes following traumatic events",ptsd
"fatigue, need for understanding and compassion, poor balance",multiple sclerosis
"need for understanding and compassion, poor balance, fatigue",multiple sclerosis
"need for understanding and compassion, fatigue, poor balance",multiple sclerosis
"rash, acid reflux, extremely itchy",hypoglycemia
"extremely itchy, rash, acid reflux",hypoglycemia
"extremely itchy, acid reflux, rash",hypoglycemia
"muscle weakness, watery diarrhea",gastroenteritis
"watery diarrhea, muscle weakness",gastroenteritis
"use of lansoprazole, use of ipratropium nasal spray, use of famotidine",gerd
"use of lansoprazole, use of famotidine, use of ipratropium nasal spray",gerd
"use of ipratropium nasal spray, use of lansoprazole, use of famotidine",gerd
"light sensitivity, dizziness",migraine
"dizziness, light sensitivity",migraine
"fibrotic nodules, pitted scars",acne
"pitted scars, fibrotic nodules",acne
"chest_pain, breathlessness, sweating, high_fever, cough, phlegm, rusty_sputum, chills, fast_heart_rate, fatigue, malaise",pneumonia
"chills, phlegm, sweating, malaise, high_fever, cough, fast_heart_rate, chest_pain, fatigue, rusty_sputum, breathlessness",pneumonia
"cough, chills, phlegm, rusty_sputum, fast_heart_rate, breathlessness, sweating, high_fever, chest_pain, malaise, fatigue",pneumonia
"forgetfulness, binge eating, difficulty maintaining focus, emotional instability, intense focus on specific tasks, skin picking, reckless driving, sudden fatigue",adhd
"intense focus on specific tasks, emotional instability, forgetfulness, binge eating, sudden fatigue, difficulty maintaining focus, reckless driving, skin picking",adhd
"sudden fatigue, difficulty maintaining focus, forgetfulness, intense focus on specific tasks, reckless driving, emotional instability, binge eating, skin picking",adhd
"surgical intervention, inability to find diagnosis, brain tumor diagnosis",multiple sclerosis
"inability to find diagnosis, surgical intervention, brain tumor diagnosis",multiple sclerosis
"brain tumor diagnosis, inability to find diagnosis, surgical intervention",multiple sclerosis
"inflammation, scarring",acne
"scarring, inflammation",acne
"difficulty swallowing, white patches in the mouth",fungal infection
"white patches in the mouth, difficulty swallowing",fungal infection
"pale stools, steatorrhea",chronic cholestasis
"steatorrhea, pale stools",chronic cholestasis
"abdominal_pain, dark_urine, joint_pain, nausea, yellowing_of_eyes, fatigue, loss_of_appetite, vomiting",hepatitis d
"fatigue, loss_of_appetite, nausea, joint_pain, dark_urine, abdominal_pain, vomiting, yellowing_of_eyes",hepatitis d
"nausea, joint_pain, vomiting, fatigue, yellowing_of_eyes, abdominal_pain, dark_urine, loss_of_appetite",hepatitis d
"weight gain, difficulty maintaining relationships, inattention or difficulty concentrating, acne",bipolar disorder
"inattention or difficulty concentrating, difficulty maintaining relationships, weight gain, acne",bipolar disorder
"weight gain, acne, inattention or difficulty concentrating, difficulty maintaining relationships",bipolar disorder
"joint_pain, knee_pain, neck_pain, painful_walking, swelling_joints",osteoarthritis
"knee_pain, swelling_joints, painful_walking, joint_pain, neck_pain",osteoarthritis
"neck_pain, swelling_joints, painful_walking, joint_pain, knee_pain",osteoarthritis
"headache, muscle_pain, high_fever, chills, nausea, diarrhoea, sweating, vomiting",malaria
"diarrhoea, headache, nausea, chills, vomiting, high_fever, muscle_pain, sweating",malaria
"sweating, vomiting, headache, nausea, muscle_pain, chills, diarrhoea, high_fever",malaria
"dehydration, diarrhoea, sunken_eyes",gastroenteritis
"dehydration, sunken_eyes, diarrhoea",gastroenteritis
"diarrhoea, dehydration, sunken_eyes",gastroenteritis
"high_fever, chills, pain_behind_the_eyes, red_spots_over_body, nausea, malaise, loss_of_appetite, skin_rash, headache, vomiting, back_pain, muscle_pain, fatigue, joint_pain",dengue
"malaise, vomiting, skin_rash, pain_behind_the_eyes, headache, back_pain, high_fever, fatigue, red_spots_over_body, joint_pain, chills, muscle_pain, nausea, loss_of_appetite",dengue
"red_spots_over_body, malaise, muscle_pain, pain_behind_the_eyes, vomiting, high_fever, joint_pain, headache, loss_of_appetite, fatigue, back_pain, skin_rash, chills, nausea",dengue
"nausea, vomiting, yellowing_of_eyes, itching, abdominal_pain, loss_of_appetite, yellowish_skin",chronic cholestasis
"loss_of_appetite, nausea, vomiting, yellowing_of_eyes, itching, abdominal_pain, yellowish_skin",chronic cholestasis
"loss_of_appetite, abdominal_pain, itching, vomiting, yellowish_skin, yellowing_of_eyes, nausea",chronic cholestasis
"trouble articulating thoughts, speech difficulties, difficulty concentrating, short-term memory problems",substance abuse
"short-term memory problems, difficulty concentrating, speech difficulties, trouble articulating thoughts",substance abuse
"speech difficulties, short-term memory problems, trouble articulating thoughts, difficulty concentrating",substance abuse
"phlegm, chills, blood_in_sputum, swelled_lymph_nodes, malaise, high_fever, cough, vomiting, yellowing_of_eyes, sweating, loss_of_appetite, chest_pain, mild_fever, breathlessness, weight_loss",tuberculosis
"mild_fever, weight_loss, phlegm, loss_of_appetite, chest_pain, breathlessness, chills, vomiting, high_fever, malaise, swelled_lymph_nodes, blood_in_sputum, yellowing_of_eyes, sweating, cough",tuberculosis
"chills, sweating, mild_fever, chest_pain, phlegm, loss_of_appetite, malaise, yellowing_of_eyes, breathlessness, swelled_lymph_nodes, cough, vomiting, weight_loss, high_fever, blood_in_sputum",tuberculosis
"feeling unwell, difficulty losing weight, persistent hunger",obesity
"feeling unwell, persistent hunger, difficulty losing weight",obesity
"persistent hunger, difficulty losing weight, feeling unwell",obesity
"change in synesthesia, altered color perception",migraine
"altered color perception, change in synesthesia",migraine
"chills, high_fever, muscle_pain, pain_behind_the_eyes, headache, back_pain, fatigue, vomiting, malaise, red_spots_over_body, skin_rash, nausea, loss_of_appetite",dengue
"malaise, high_fever, chills, fatigue, nausea, headache, loss_of_appetite, pain_behind_the_eyes, muscle_pain, skin_rash, red_spots_over_body, vomiting, back_pain",dengue
"malaise, skin_rash, high_fever, chills, pain_behind_the_eyes, nausea, red_spots_over_body, fatigue, loss_of_appetite, back_pain, headache, vomiting, muscle_pain",dengue
"vomiting, chills",gastroenteritis
"chills, vomiting",gastroenteritis
"thick saliva sensation, vomiting, choking feeling",migraine
"vomiting, thick saliva sensation, choking feeling",migraine
"choking feeling, thick saliva sensation, vomiting",migraine
"high_fever, yellow_crust_ooze, red_sore_around_nose, blister",impetigo
"blister, red_sore_around_nose, yellow_crust_ooze, high_fever",impetigo
"blister, red_sore_around_nose, high_fever, yellow_crust_ooze",impetigo
"loss of appetite, mood swings, inconsolable crying, self-harm",substance abuse
"self-harm, inconsolable crying, mood swings, loss of appetite",substance abuse
"mood swings, loss of appetite, inconsolable crying, self-harm",substance abuse
"experiencing relapses or flare-ups, periods of disease progression, frequent changes in medication regimen, progressive muscle weakness",multiple sclerosis
"frequent changes in medication regimen, progressive muscle weakness, experiencing relapses or flare-ups, periods of disease progression",multiple sclerosis
"frequent changes in medication regimen, progressive muscle weakness, periods of disease progression, experiencing relapses or flare-ups",multiple sclerosis
"painful periods, coccyx pain, pain during intercourse, lower back pain, severe anxiety, gastrointestinal discomfort, depression, chronic fatigue, pelvic pain",endometriosis
"gastrointestinal discomfort, pelvic pain, painful periods, severe anxiety, chronic fatigue, depression, lower back pain, pain during intercourse, coccyx pain",endometriosis
"severe anxiety, lower back pain, depression, chronic fatigue, pain during intercourse, coccyx pain, painful periods, pelvic pain, gastrointestinal discomfort",endometriosis
"irritability, mood disturbances, increased anxiety, early morning awakenings, daytime fatigue, difficulty staying asleep, difficulty falling asleep, unrefreshing sleep, waking up frequently during the night",insomnia
"difficulty staying asleep, waking up frequently during the night, early morning awakenings, irritability, difficulty falling asleep, mood disturbances, increased anxiety, unrefreshing sleep, daytime fatigue",insomnia
"increased anxiety, waking up frequently during the night, daytime fatigue, difficulty staying asleep, mood disturbances, early morning awakenings, difficulty falling asleep, unrefreshing sleep, irritability",insomnia
"rapid movements, poor judgment",hypoglycemia
"poor judgment, rapid movements",hypoglycemia
"joint pain, irregular menstrual cycles, hip pain, shoulder pain, ankle pain, knee pain, achilles tendon pain",menopausal syndrome
"ankle pain, achilles tendon pain, hip pain, knee pain, joint pain, irregular menstrual cycles, shoulder pain",menopausal syndrome
"hip pain, irregular menstrual cycles, ankle pain, joint pain, shoulder pain, knee pain, achilles tendon pain",menopausal syndrome
"digestive issues, migraines, painful constipation, cardiovascular symptoms",depression
"cardiovascular symptoms, digestive issues, painful constipation, migraines",depression
"cardiovascular symptoms, painful constipation, migraines, digestive issues",depression
"labile blood pressure, insomnia, social anxiety, feeling overwhelmed, sudden cold sensation, cyanosis (blue lips), photosensitivity, paresthesia in feet/hands, difficulty with crowds, auditory sensitivity, temporomandibular joint disorder (tmd)",ptsd
"social anxiety, difficulty with crowds, labile blood pressure, photosensitivity, cyanosis (blue lips), auditory sensitivity, insomnia, paresthesia in feet/hands, temporomandibular joint disorder (tmd), sudden cold sensation, feeling overwhelmed",ptsd
"feeling overwhelmed, auditory sensitivity, sudden cold sensation, labile blood pressure, temporomandibular joint disorder (tmd), paresthesia in feet/hands, cyanosis (blue lips), photosensitivity, difficulty with crowds, insomnia, social anxiety",ptsd
"predisposition influenced by childhood trauma, psoriasis flare-ups potentially linked to psychological stress, psoriasis exacerbation during stressful periods",psoriasis
"psoriasis exacerbation during stressful periods, predisposition influenced by childhood trauma, psoriasis flare-ups potentially linked to psychological stress",psoriasis
"psoriasis flare-ups potentially linked to psychological stress, psoriasis exacerbation during stressful periods, predisposition influenced by childhood trauma",psoriasis
"fear of the grinch, excessive urination before bed, ritual praying, hand washing, skin picking",ocd
"ritual praying, skin picking, excessive urination before bed, fear of the grinch, hand washing",ocd
"fear of the grinch, excessive urination before bed, hand washing, skin picking, ritual praying",ocd
"depression, visual_disturbances, indigestion, stiff_neck, headache, irritability, blurred_and_distorted_vision, acidity, excessive_hunger",migraine
"indigestion, headache, depression, blurred_and_distorted_vision, acidity, irritability, visual_disturbances, excessive_hunger, stiff_neck",migraine
"depression, acidity, stiff_neck, irritability, headache, visual_disturbances, indigestion, excessive_hunger, blurred_and_distorted_vision",migraine
"rashes, bloating, blisters, fatigue",allergy
"blisters, fatigue, rashes, bloating",allergy
"rashes, bloating, fatigue, blisters",allergy
"anxiety, high heart rate, high temperature",stroke
"high temperature, anxiety, high heart rate",stroke
"high heart rate, high temperature, anxiety",stroke
"breathlessness, chest_pain, vomiting, sweating",heart attack
"breathlessness, vomiting, sweating, chest_pain",heart attack
"breathlessness, chest_pain, sweating, vomiting",heart attack
"sleep disturbances, chronic fatigue, nerve pain, chronic widespread pain, migraines",fibromyalgia
"nerve pain, migraines, sleep disturbances, chronic widespread pain, chronic fatigue",fibromyalgia
"chronic widespread pain, migraines, sleep disturbances, nerve pain, chronic fatigue",fibromyalgia
"frequent urination, excessive thirst",diabetes
"excessive thirst, frequent urination",diabetes
"fatty liver, anxiety, elevated liver enzymes",alcoholic hepatitis
"elevated liver enzymes, anxiety, fatty liver",alcoholic hepatitis
"fatty liver, elevated liver enzymes, anxiety",alcoholic hepatitis
"significant neurological issues, periodic symptom exacerbations, severe fatigue leading to bedridden state",multiple sclerosis
"periodic symptom exacerbations, severe fatigue leading to bedridden state, significant neurological issues",multiple sclerosis
"severe fatigue leading to bedridden state, significant neurological issues, periodic symptom exacerbations",multiple sclerosis
"dark urine, jaundice",hepatitis b
"jaundice, dark urine",hepatitis b
"intense fear of being disliked, excessive blushing, racing thoughts, persistent sadness, increased irritability",anxiety
"persistent sadness, excessive blushing, intense fear of being disliked, increased irritability, racing thoughts",anxiety
"racing thoughts, increased irritability, intense fear of being disliked, persistent sadness, excessive blushing",anxiety
"toenails thickened with keratin, feet covered in hard skin",fungal infection
"feet covered in hard skin, toenails thickened with keratin",fungal infection
"swelled_lymph_nodes, malaise, sinus_pressure, fatigue, loss_of_smell, phlegm, muscle_pain, chest_pain, congestion, chills, headache, continuous_sneezing, redness_of_eyes, throat_irritation, high_fever, cough, runny_nose",common cold
"sinus_pressure, loss_of_smell, chills, swelled_lymph_nodes, headache, congestion, runny_nose, malaise, continuous_sneezing, throat_irritation, high_fever, phlegm, redness_of_eyes, muscle_pain, chest_pain, fatigue, cough",common cold
"runny_nose, sinus_pressure, chills, muscle_pain, loss_of_smell, phlegm, swelled_lymph_nodes, chest_pain, fatigue, throat_irritation, high_fever, cough, continuous_sneezing, malaise, redness_of_eyes, congestion, headache",common cold
"irregular_sugar_level, polyuria, lethargy, weight_loss, fatigue, blurred_and_distorted_vision, increased_appetite, excessive_hunger, obesity",diabetes
"irregular_sugar_level, weight_loss, increased_appetite, lethargy, polyuria, fatigue, obesity, blurred_and_distorted_vision, excessive_hunger",diabetes
"lethargy, excessive_hunger, polyuria, fatigue, increased_appetite, blurred_and_distorted_vision, irregular_sugar_level, obesity, weight_loss",diabetes
"fatigue, enlarged_thyroid, irritability, abnormal_menstruation, weight_gain, puffy_face_and_eyes, mood_swings, lethargy, brittle_nails, swollen_extremeties, depression, dizziness, cold_hands_and_feets",hypothyroidism
"enlarged_thyroid, mood_swings, abnormal_menstruation, lethargy, fatigue, puffy_face_and_eyes, cold_hands_and_feets, dizziness, weight_gain, irritability, brittle_nails, swollen_extremeties, depression",hypothyroidism
"dizziness, weight_gain, swollen_extremeties, irritability, abnormal_menstruation, mood_swings, depression, cold_hands_and_feets, enlarged_thyroid, lethargy, fatigue, brittle_nails, puffy_face_and_eyes",hypothyroidism
"prickling or tingling sensation on skin, intense itching, skin redness, widespread skin rash, impaired skin barrier function",eczema
